10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
195.708,6.083,3220.37,40.408,45110.4,469.722
177.289,4.5306,3119.77,39.6214,44145.3,470.145
160.941,4.5522,2868.29,39.6183,44413.9,444.936
163.094,4.4298,2848.32,45.4586,46029.2,581.331
195.832,4.5117,3163.17,39.9107,45390.8,487.3
