10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
195.37,4.7069,2946.18,39.8354,45382.8,454.217
166.321,4.7488,2942.61,40.5203,45160,524.448
169.826,4.4649,3091.38,40.3245,47277,453.477
166.846,4.4603,2964.74,58.1187,44694.1,452.892
174.865,4.703,2987.96,43.6523,45978,496.625
