10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
16781.5,13.7425,450376,126.79,6.57498e+06,1508.17
16756.7,12.7146,451056,125.757,6.57664e+06,1509.1
16733.7,12.3696,449406,125.221,6.87049e+06,1494.37
17532.8,12.4753,452548,125.688,6.57132e+06,1482.88
16731.8,12.2763,450438,123.899,6.571e+06,1468.64
