10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
5.8953,5.2823,70.2775,40.6888,525.192,449.197
6.5113,4.4763,74.335,39.8666,380.181,440.473
5.4804,4.4027,60.0311,39.9137,566.213,439.538
5.9135,4.3703,64.0378,39.1619,667.131,439.137
8.2175,4.7048,64.0288,39.2594,539.813,440.949
