10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
19.4023,5.0629,429.095,46.2515,9131.05,590.697
17.1058,4.7911,356.12,44.691,8235.38,530.945
16.9051,4.6706,396.632,44.8442,8882.93,543.303
17.0826,4.7309,391.817,51.5694,8869.9,521.253
18.1161,4.8536,387.917,44.7625,9035.33,520.748
