10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
718.655,5.5631,11777.3,48.0366,185659,552.83
704.861,5.0737,11699.6,47.0098,185482,557.158
707.506,5.0438,11740.4,47.0417,185506,554.18
706.836,5.1675,11745.3,47.2626,185549,537.048
705.173,5.1271,11711.4,46.2382,185389,526.05
