10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
5.0145,5.0482,78.8238,47.0676,822.655,563.21
6.8886,4.8797,81.5926,49.2159,783.621,529.939
6.527,4.8492,73.6703,45.4085,745.257,525.431
6.0767,4.6852,87.089,44.4849,942.689,515.345
7.2947,4.7063,87.4098,44.0742,908.549,504.182
