10000GiftWrapping,10000DivideAndConquer,100000GiftWrapping,100000DivideAndConquer,1000000GiftWrapping,1000000DivideAndConquer
165.718,13.7304,16935.4,124.372,1.68286e+06,1496.75
169.349,12.9049,16684.8,122.59,1.67874e+06,1487.04
172.27,12.913,16674,122.577,1.68294e+06,1476.48
170.807,12.8182,16728.6,123.364,1.68486e+06,1466.71
169.38,12.7519,16751.1,122.314,1.69918e+06,1464.76
